rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof
16,wadderu01,Rube Waddell,SP,PHA,2961.3333333333335,2914.3333333333335,11.0,193,143,5,2316,407,340,2.1608509680324177,1.1018685276902296,139.68661530588437,60.92,16.600109944637545,1.1392046170402064,0.8684655665132311,0.765518583867391,3.360233499059095,0.44651727274201386,-0.30641574915170844,1897,1910,True
17,fellebo01,Bob Feller,SP,CLE,3827.0,3827.0,18.0,266,162,21,2581,570,484,3.254768748366867,1.3156519466945389,125.8657168514998,65.19,16.131953872035936,0.8430600403467958,0.6245501108169922,0.474293136007257,2.063542030107663,0.7691986564372759,0.04673522839323977,1936,1956,True
18,keefeti01,Tim Keefe,SP,NY1,5049.666666666667,5049.666666666666,14.0,342,225,2,2564,600,594,2.6271040992804804,1.1230444253746121,133.51565867304276,89.14,14.533958666686225,0.5756403194938104,0.5885512689750694,0.6702833465990449,0.8309865849582723,0.594661957434503,-0.24198042878273224,1880,1893,True
19,maddugr01,Greg Maddux,SP,ATL,5008.333333333333,4977.333333333333,22.0,355,227,0,3371,744,740,3.1555407653910152,1.1430948419301166,144.54601289950813,104.79,14.198009591306713,0.5705066806043416,0.8401250384870644,1.1131049975046352,-0.10640327007073593,0.7097867317625908,-0.3847752073195436,1986,2008,True
20,brownmo01,Mordecai Brown,SP,CHN,3172.3333333333335,3172.3333333333335,14.0,239,130,49,1375,481,332,2.0568456446359145,1.0657770305768623,152.25655262468018,57.21,14.10861030516991,0.8894784263005096,0.8936958397242728,0.9766132725431087,0.05816575457817072,0.9390230179487533,2.224633937282789,1903,1916,True
21,clarkjo01,John Clarkson,SP,BSN,4536.333333333333,4512.333333333334,11.0,328,178,5,1978,531,518,2.8113013446983617,1.2093467558233524,136.17399790162827,84.98,14.094527397323006,0.6247112682569108,0.7389739317804189,0.7256811155476875,0.248842471209785,0.9168857479775684,0.2540186258741346,1882,1894,True
22,planked01,Eddie Plank,SP,PHA,4495.666666666667,4495.666666666666,17.0,326,194,23,2246,623,529,2.350263216430637,1.118855193890413,124.02860623549027,88.06,13.976630418803124,0.6217823275214558,0.5750178781271711,0.6898856266854568,0.688724027434705,0.7998846354387017,0.07834718743617386,1901,1917,True
23,koufasa01,Sandy Koufax,SP,LAN,2324.3333333333335,2324.3333333333335,12.0,165,87,9,2396,397,314,2.7607916248386632,1.1061236196758926,143.54575132625152,53.07,13.778454425233244,1.185583343631141,0.9099771099903846,1.0428869339139242,2.681501818445496,1.0048176316858046,-0.4130943503715852,1955,1966,True
24,carltst01,Steve Carlton,SP,PHI,5217.333333333333,5182.666666666667,22.0,329,244,2,4136,741,709,3.215435727063634,1.2468055200613342,122.2104141133592,84.11,13.266276380546897,0.5119478922258901,0.453323958475055,0.38415706591873516,1.2645278556680104,0.5054646219112771,-0.5142085938841509,1965,1988,True
25,spahnwa01,Warren Spahn,SP,ML1,5243.666666666667,5228.000000000001,20.0,363,245,29,2583,750,665,3.0860085182124464,1.1945839425338503,122.60999905500691,92.59,13.133600177148134,0.5024330595695536,0.7414541715310046,0.9153217135533221,-0.06296467336208257,0.6124351562282137,-0.21655008274754284,1942,1965,True
26,schilcu01,Curt Schilling,SP,PHI,3261.0,3237.666666666667,18.0,216,146,22,3116,569,436,3.4581416743330267,1.1373811714198099,131.53059202150376,80.52,13.12893402643979,0.8110120885271156,0.6821075008665163,1.2047914146036096,1.2161430063727443,0.6233039134152691,-0.30274275163103676,1988,2007,False
27,kershcl01,Clayton Kershaw,SP,LAN,2454.6666666666665,2454.666666666667,14.0,185,84,0,2670,379,376,2.4895437262357416,1.004209668658338,161.5241060059559,78.13,12.813371397691526,1.0440009286549312,1.2586497649611188,1.4094520885916668,0.9998478549592458,1.0472255482916777,-0.35190651845556997,2008,2021,False
28,suttodo01,Don Sutton,SP,LAN,5282.333333333333,5282.333333333333,23.0,324,256,5,3574,774,756,3.2610588754969396,1.1424875370732632,111.74858639269495,68.29,12.135731853388808,0.4594837579373565,0.3723070566406506,0.9271402070716013,0.5224679547228293,0.3935733305829362,-0.48586315051859685,1966,1988,True
29,deandi01,Dizzy Dean,SP,SLN,1967.3333333333333,1953.3333333333335,9.0,150,83,30,1163,317,230,3.02389020670959,1.2056929854286682,135.08102593261245,43.910000000000004,12.05868786473958,1.2346779383692403,0.9870338836262748,1.1322478607329547,1.7850937055414402,0.925664283902736,1.6270590439059738,1930,1947,True
30,smoltjo01,John Smoltz,SP,ATL,3473.0,3444.9999999999995,20.0,213,155,154,3084,723,481,3.3273826662827526,1.175928591995393,131.3229743611892,66.4,11.89103748573932,0.6903359933665789,0.6418194053576075,0.9084126480433526,0.9408824017707578,0.4994507637887798,-0.03429591688743631,1988,2009,True
