rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof,is_nel_ranked
792,sanchan01,Anibal Sanchez,SP,DET,2017.6666666666667,1987.6666666666665,15.0,116,119,0,1774,364,341,4.059144226003634,1.3114158268627127,110.17876165961343,30.06,-0.5514402301338521,-0.055486187838388615,-0.08210833595440331,-0.05154593885921349,0.1220048378799813,-0.037927895794598966,-0.3504763715405664,2006,2022,False,False
793,lemasde01,Denny Lemaster,SP,ML1,1787.6666666666667,1768.0,10.0,90,105,8,1305,357,249,3.584560880104419,1.2882714898377774,98.80426483281553,19.03,-0.5532214607093277,-0.06258161320241264,-0.12677326686552098,-0.13932913630162494,0.5027615091992997,-0.24599572419540644,-0.4485403976550796,1962,1972,False,False
794,mcquihu01,Hugh McQuillan,SP,NY1,1561.6666666666667,1552.6666666666665,9.0,88,94,16,446,279,204,3.832443970117396,1.4036286019210245,98.08662250152344,8.52,-0.5565497608303648,-0.07168953552988815,0.014139606666948742,-0.08188576300707948,-0.46947860590397233,-0.1606753122875522,0.7127778719344949,1918,1927,False,False
795,schmijo01,Johnny Schmitz,SP,CHN,1812.6666666666667,1792.0,12.0,93,114,20,746,366,235,3.5450533284295696,1.3918720117690326,113.2220844060631,24.61,-0.5568718353621065,-0.06215087448237796,0.23584987584550304,-0.03106318115542209,-0.2722539183337118,-0.303722267795731,0.05741704913677237,1941,1956,False,False
796,ditmaar01,Art Ditmar,SP,NYA,1268.0,1206.9999999999998,7.0,72,77,14,552,287,156,3.9818611987381702,1.339116719242902,101.91396607649267,5.89,-0.5577744131220325,-0.09242326646595407,-0.02658360549012856,0.27500521444897724,-0.7527878789847416,0.06564127067279871,-0.17099347043277668,1954,1962,False,False
797,haefnmi01,Mickey Haefner,SP,WS1,1466.6666666666667,1466.6666666666665,8.0,78,91,13,508,261,179,3.5038636363636364,1.3575,105.66036729061686,15.73,-0.5615165565361913,-0.07657043952766251,0.1284946456374599,0.08925639442144988,-0.5126279561386224,-0.2149471762087133,0.14506826927077282,1943,1950,False,False
798,fishech01,Cherokee Fisher,SP,PH2,1326.0,1316.9999999999998,6.0,56,84,3,123,165,141,2.6131221719457014,1.2269984917043741,113.03195355322889,18.150000000000002,-0.5644188522590344,-0.08571280975839553,-0.025948739433683414,0.2062050960822579,-0.10453716907391958,-0.529804573252972,0.1234074951330377,1871,1878,False,False
799,wilsoja01,Jack Wilson,RP,BOS,1131.6666666666667,1122.6666666666667,8.0,68,72,20,590,281,121,4.58880706921944,1.6206185567010307,105.97401480222888,11.83,-0.5668418280805279,-0.10098132329225554,-0.3883861646732762,-0.9077347090610611,0.7596707415140873,-0.039604289479062214,0.7903560473432382,1934,1942,False,False
800,gleaski01,Kid Gleason,SP,PHI,2389.3333333333335,2389.333333333333,8.0,138,131,6,744,299,266,3.793108258928571,1.447265625,107.52380193340896,32.96,-0.5730970659413313,-0.047971294582142686,-0.027141343656194562,-0.08135098901204754,-0.45330135618957657,0.04758300913267488,0.602954579962982,1888,1895,False,False
801,coxda01,Danny Cox,SP,SLN,1298.0,1279.3333333333335,10.0,74,75,8,723,278,174,3.640215716486903,1.3281972265023112,110.71088189191319,10.55,-0.5859105357898764,-0.0915962275857024,0.2092463433503573,-0.012204157423000631,-0.4462996921553536,0.015341955929539066,-0.4282066861107312,1983,1995,False,False
802,washbja01,Jarrod Washburn,SP,ANA,1863.6666666666667,1863.666666666667,12.0,107,109,1,1103,312,300,4.095152924342694,1.3006617778572707,113.0112118268637,27.72,-0.5929952395878764,-0.06363747876099549,0.13234369705059532,0.3125882019930967,-0.6927021380409374,-0.008027543949127715,-0.3472451712390549,1998,2009,False,False
803,dwyerfr01,Frank Dwyer,SP,CIN,2819.0,2786.3333333333335,11.0,177,151,6,565,366,318,3.8439162823696345,1.445902802412203,120.93690828055867,42.09,-0.604781112893274,-0.04341053567842621,0.2278191824970621,0.20983418306254176,-1.1965031766172738,0.29588049786180876,0.27300658682765894,1888,1899,False,False
804,byrneto01,Tommy Byrne,SP,NYA,1362.0,1316.6666666666667,10.0,85,69,12,766,281,170,4.110132158590308,1.5969162995594715,101.6051785488899,6.33,-0.6143430283105304,-0.09331792835096665,-0.15142286247295378,-1.0122501748997326,0.7932741542241252,0.3525436571200938,-0.31563231276638803,1943,1957,False,False
805,stangle01,Lee Stange,RP,BOS,1216.0,1203.6666666666667,9.0,62,61,21,718,359,125,3.560032894736842,1.2467105263157894,107.27698498508772,11.03,-0.6162513627927984,-0.10239568476202685,-0.15785349936481025,0.11783540443736511,-0.42352309144762806,0.056805584078927496,-0.19047659556425436,1961,1970,False,False
806,frankry01,Ryan Franklin,RP,SEA,1201.0,1162.0,10.0,62,76,84,668,532,106,4.136552872606162,1.318068276436303,110.9283275427571,11.57,-0.6249230055018055,-0.10755989767673071,0.14367733703112737,0.23005663693727513,-0.8449841443231596,-0.2464272231269733,0.17288882321195248,1999,2011,False,False
807,helliri01,Rick Helling,SP,TEX,1526.3333333333333,1479.0,10.0,93,81,0,1058,301,234,4.675911771129067,1.377156584407076,111.17859367621197,20.95,-0.6267232083231378,-0.08474958868467043,-0.28263514753374935,0.03435342569990673,-0.18881873405839683,0.2326776577194467,-0.3711097018783728,1994,2006,False,False
808,brogler01,Ernie Broglio,SP,SLN,1337.3333333333333,1337.3333333333335,8.0,77,74,2,849,259,184,3.741774675972084,1.3482053838484547,114.71577879404745,18.04,-0.6277997635672516,-0.09388829963617926,-0.07710885962411232,-0.26572162957897927,0.16213755690665274,0.07566779758991121,-0.5574174823471909,1959,1966,False,False
809,grayjo02,Jon Gray,SP,COL,1230.6666666666667,1177.6666666666667,9.0,75,71,0,1223,234,223,4.490249187432286,1.3106717226435536,105.24022286368437,14.07,-0.6284565722897681,-0.1067291093614098,-0.34087702712358997,-0.20659047550528115,0.2177229445485979,0.15796902223262574,-0.38009428026549275,2015,2025,False,False
