playerID,yearID,z_AVG,z_ISO,z_BB,z_SB,z_DEF,PA
aaronha01,1954,0.1476512924656519,0.3853066490966598,-1.2584642370932377,-0.45871459892256905,-1.4582331943048628,509.0
aaronha01,1955,1.37509456834663,1.2034914993369017,-0.7606588169342456,-0.41914555148365945,-0.36306406433514965,665.0
aaronha01,1956,1.8667801061800195,1.293379913720762,-1.1956883841824997,-0.5878356389939396,-0.4654855578156504,660.0
aaronha01,1957,1.72427575779172,2.112552816586602,-0.18416804080805138,-0.7337195525836839,0.22556862908160902,675.0
aaronha01,1958,1.8129613732171816,1.2092539834530904,-0.0730539432815478,-0.2315386473475394,-0.8401581704053743,664.0
aaronha01,1959,2.83230512037736,2.2745731825375906,-0.5570634403151642,0.13690109860167374,-1.6820970871523608,693.0
aaronha01,1960,0.9696146727772154,2.165498048362782,-0.09231828155275505,0.9570220130252421,-0.3204712548248374,664.0
aaronha01,1961,1.8693012153372583,1.6566178421807976,-0.379283556383339,1.7881730013127095,1.289690126257745,671.0
aaronha01,1962,1.7173044090243113,2.5585055849571345,0.18201885339992732,0.7254874279696872,0.7151301362540357,667.0
aaronha01,1963,2.1975507922241757,2.27784196037641,0.9443989549176359,2.5832707917183457,-1.7546148961363133,714.0
aaronha01,1964,2.1504711522611117,0.7967429603808508,0.5065388303816021,1.752314951213343,0.459167218558835,634.0
aaronha01,1965,1.9919303880984114,1.7924446320910263,0.25620090924575356,1.5053811957790697,0.2675579060806669,639.0
aaronha01,1966,0.6420391689594573,2.042608915477628,0.944269827502279,1.0721591940198771,0.27496516556863326,688.0
aaronha01,1967,1.5303446208180445,2.600257464813156,0.3328444993622282,0.920863860206725,0.6177708991428112,669.0
aaronha01,1968,1.2485814634747006,1.857988914163224,0.43944429261791157,1.5577430200360987,1.0460756652758136,676.0
aaronha01,1969,1.1931261303059066,2.821590349730503,1.0690628782784195,-0.006443994129832557,-0.47182310655943854,639.0
aaronha01,1970,0.9739462765592953,2.094228161949198,0.6745366636934704,0.029836194595999715,-0.19412594266842487,598.0
aaronha01,1971,2.0774347295678632,3.879106396245049,0.9100574311762212,-0.7865306465456858,-1.1632224658626635,573.0
