saa_rank,name,SAA_final,bWAR,bwar_rank,bWAA,bwaa_rank,JAWS,jaws_rank,WAR7,d_war,d_waa,d_jaws,z_AVG_career,z_ISO_career,z_BB_career,z_SB_career,z_DEF_career,qualifying_seasons,is_hof,is_nel_ranked
1.0,Babe Ruth,23.987574551608077,182.62000000000003,1.0,133.8747,1.0,133.50500000000002,1.0,84.39,0.0,0.0,0.0,1.209744926849777,4.018680535889794,3.625158107232717,-0.5311997303878413,-0.6781201751314981,17.0,True,False
2.0,Ty Cobb,22.79899624571995,149.84,4.0,100.21679999999999,4.0,108.965,4.0,68.09,2.0,2.0,2.0,2.3549826965725345,1.1759970512338465,0.4152651948341817,1.9214027002347112,0.4232931629646871,23.0,True,False
3.0,Willie Mays,21.79694229066278,156.18000000000004,3.0,109.94999999999999,3.0,114.86500000000001,3.0,73.55,0.0,0.0,0.0,1.0506192112617927,1.7654777701563236,0.7229023451686647,1.3500153291151922,1.6426696699986023,21.0,True,False
4.0,Barry Bonds,20.724767140690485,162.78,2.0,123.83999999999999,2.0,117.745,2.0,72.71000000000001,-2.0,-2.0,-2.0,0.900556903328406,2.463398390761091,3.1354053702355005,0.7331068653395135,-0.6659986147598042,21.0,False,False
5.0,Honus Wagner,20.081883276984776,132.75,7.0,93.5311,6.0,99.28,8.0,65.81,2.0,1.0,3.0,1.6481564968799711,1.6411598098654496,0.2027252918579866,1.217768131687882,0.7170014422433282,21.0,True,False
6.0,Tris Speaker,18.993005356045938,136.07000000000002,6.0,89.96629999999999,9.0,99.67000000000002,7.0,63.27,0.0,3.0,1.0,1.6238711511087418,1.1292135541376616,1.032625292260505,0.2194813477423775,1.5185363476896032,20.0,True,False
7.0,Ted Williams,18.782672830027916,121.72999999999998,11.0,92.66880000000002,8.0,94.80999999999999,10.0,67.89,4.0,1.0,3.0,2.046023430451624,2.49841106426999,2.9635284735306984,-0.7780447907459703,-0.6679397077190995,17.0,True,False
8.0,Rogers Hornsby,16.280689356012854,127.39999999999998,9.0,97.02,5.0,100.71499999999999,6.0,74.03,1.0,-3.0,-2.0,2.009755905810888,2.152699950054877,0.860299731779213,-0.4581780260806166,0.0709914597417163,15.0,True,False
9.0,Nap Lajoie,15.98745362795066,108.69999999999999,17.0,69.18999999999998,17.0,84.66499999999999,15.0,60.629999999999995,8.0,8.0,6.0,1.8478327791542644,1.1911805195215934,-0.8321399680862421,-0.0342644572149867,1.5463974316888502,20.0,True,False
10.0,Mickey Mantle,15.741295017361086,110.26000000000002,16.0,79.41000000000001,11.0,87.51,14.0,64.75999999999999,6.0,1.0,4.0,0.9106946629175048,1.7798933060933535,2.4255268655552147,0.4283003550720331,0.3362482470107206,18.0,True,False
